iter	Passed	Remaining
0	58	58789
1	59	29527
2	59	19779
3	59	14927
4	60	11995
5	60	10037
6	60	8638
7	61	7586
8	61	6769
9	61	6116
10	62	5583
11	62	5138
12	62	4762
13	63	4437
14	63	4158
15	63	3913
16	63	3697
17	64	3505
18	64	3334
19	64	3180
20	65	3039
21	65	2911
22	65	2795
23	66	2688
24	66	2589
25	66	2497
26	66	2412
27	67	2333
28	67	2261
29	67	2193
30	68	2130
31	68	2070
32	68	2013
33	69	1961
34	69	1911
35	69	1864
36	69	1820
37	70	1777
38	70	1736
39	70	1698
40	71	1661
41	71	1626
42	71	1593
43	71	1562
44	72	1532
45	72	1503
46	72	1475
47	73	1448
48	73	1425
49	73	1401
50	74	1378
51	74	1356
52	74	1334
53	74	1312
54	75	1292
55	75	1273
56	75	1254
57	76	1235
58	76	1217
59	76	1200
60	76	1184
61	77	1168
62	77	1153
63	77	1138
64	78	1123
65	78	1109
66	78	1095
67	78	1082
68	79	1069
69	79	1056
70	79	1044
71	80	1032
72	80	1020
73	80	1009
74	80	998
75	81	987
76	81	976
77	81	966
78	82	956
79	82	946
80	82	937
81	82	927
82	83	918
83	83	910
84	83	901
85	84	892
86	84	884
87	84	876
88	84	868
89	85	861
90	85	853
91	85	846
92	86	839
93	86	832
94	86	825
95	86	819
96	87	812
97	87	806
98	87	799
99	88	793
100	88	787
101	88	781
102	89	775
103	89	769
104	89	764
105	89	758
106	90	753
107	90	747
108	90	742
109	91	737
110	91	731
111	91	726
112	91	721
113	92	716
114	92	711
115	92	707
116	93	702
117	93	697
118	93	693
119	93	688
120	94	684
121	94	680
122	94	676
123	95	672
124	95	668
125	95	663
126	95	659
127	96	655
128	96	651
129	96	647
130	97	643
131	97	639
132	97	636
133	97	632
134	98	628
135	98	625
136	98	621
137	99	622
138	99	619
139	100	615
140	100	612
141	100	609
142	101	605
143	101	602
144	101	599
145	101	596
146	102	592
147	102	589
148	102	586
149	103	583
150	103	581
151	103	578
152	103	575
153	104	572
154	104	569
155	104	566
156	104	563
157	105	560
158	105	558
159	105	554
160	105	552
161	106	549
162	106	546
163	106	544
164	107	542
165	107	539
166	107	537
167	108	534
168	108	532
169	108	530
170	108	528
171	109	525
172	109	523
173	109	520
174	109	518
175	110	515
176	110	513
177	110	511
178	111	509
179	111	507
180	111	505
181	111	502
182	112	500
183	112	498
184	112	496
185	113	494
186	113	492
187	113	490
188	114	492
189	114	490
190	115	488
191	115	486
192	115	484
193	116	482
194	116	480
195	116	478
196	117	476
197	117	475
198	117	473
199	117	471
200	118	469
201	118	468
202	118	466
203	119	464
204	119	462
205	119	461
206	119	459
207	120	457
208	120	455
209	120	454
210	121	452
211	121	450
212	121	449
213	121	447
214	122	446
215	122	444
216	122	442
217	123	441
218	123	439
219	123	438
220	123	436
221	124	435
222	124	433
223	124	432
224	124	430
225	125	428
226	125	427
227	125	426
228	126	424
229	126	423
230	126	421
231	126	420
232	127	418
233	127	417
234	127	415
235	128	414
236	128	413
237	128	412
238	129	410
239	129	409
240	129	408
241	129	406
242	130	405
243	130	404
244	130	402
245	131	401
246	131	400
247	131	399
248	131	397
249	132	396
250	132	395
251	132	394
252	133	392
253	133	391
254	133	390
255	133	389
256	134	387
257	134	386
258	134	385
259	135	384
260	135	383
261	135	381
262	135	380
263	136	379
264	136	378
265	136	377
266	136	376
267	137	374
268	137	373
269	137	372
270	138	371
271	139	372
272	139	371
273	139	369
274	139	368
275	140	367
276	140	366
277	140	365
278	141	364
279	141	363
280	141	362
281	141	361
282	142	360
283	142	359
284	142	358
285	143	357
286	143	356
287	143	354
288	143	353
289	144	352
290	144	351
291	144	350
292	145	349
293	145	348
294	145	347
295	145	346
296	146	345
297	146	344
298	146	343
299	146	342
300	147	341
301	147	340
302	147	339
303	147	338
304	148	337
305	148	336
306	148	335
307	149	334
308	149	333
309	149	333
310	149	332
311	150	331
312	150	330
313	150	329
314	151	328
315	151	327
316	151	326
317	151	325
318	152	325
319	152	324
320	152	323
321	153	322
322	153	321
323	153	320
324	154	319
325	154	319
326	154	318
327	154	317
328	155	316
329	155	315
330	155	314
331	156	314
332	156	313
333	156	312
334	156	311
335	157	310
336	157	310
337	157	309
